cell_type_markers_ext,TFs_Fantom5_mouse,mature_sel_volcano,immature_sel_volcano,mature_immature_sel_IF,Homeo_TFs_mouse,main_cand_TFs
,Smarcal1,,,,,
,Smarcad1,,,,,
,Smarca5,,,,,
,Smarca4,,,,,
,Smarca2,,,,,
,Smarca1,,,,,
,Smad9,,,,,
,Smad7,,,,,
,Smad6,,,,,
,Smad5,,,,,
,Smad4,,,,,
,Smad3,,,,,
,Smad2,,,,,
,Smad1,,,,,
,Slc30a9,,,,,
,Skor2,,,,,
,Skor1,,,,,
,Skil,,,,,
,Ski,,,,,
,Six6,,,,,
,Six5,,,,,
,Six4,,,,,
,Six3,,,,,
,Six2,,,,,
,Six1,,,,,
,Sim2,,,,,
,Sim1,,,,,
,Shox2,,,,,
,Sfpq,,,,,
,Sfpi1,,,,,
,Setbp1,,,,,
,Sebox,,,,,
,Scx,,,,,
,Scrt2,,,,,
,Scrt1,,,,,
,Scaper,,,,,
,Satb2,,,,,
,Satb1,,,,,
,Sall4,,,,,
,Sall3,,,,,
,Sall2,,,,,
,Sall1,,,,,
,Rxrg,,,,,
,Rxrb,,,,,
,Runx3,,,,,
,Runx2,,,,,
,Runx1t1,,,,,
,Rsl1,,,,,
,Rorc,,,,,
,Rorb,,,,,
,Rora,,,,,
,Rlf,,,,,
,Rhox8,,,,,
,Rhox6,,,,,
,Rhox13,,,,,
,Rhox12,,,,,
,Rhox10,,,,,
,Rfxap,,,,,
,Rfxank,,,,,
,Rfx8,,,,,
,Rfx7,,,,,
,Rfx6,,,,,
,Rfx5,,,,,
,Rfx4,,,,,
,Rfx3,,,,,
,Rfx2,,,,,
,Rfx1,,,,,
,Rere,,,,,
,Relb,,,,,
,Rcor3,,,,,
,Rcor2,,,,,
,Rcor1,,,,,
,Rc3h2,,,,,
,Rc3h1,,,,,
,Rbpjl,,,,,
,Rbpj,,,,,
,Rbm22,,,,,
,Rbak,,,,,
,Rax,,,,,
,Rarg,,,,,
,Rarb,,,,,
,Rara,,,,,
,Purg,,,,,
,Purb,,,,,
,Pura,,,,,
,Ptf1a,,,,,
,Pspc1,,,,,
,Prrxl1,,,,,
,Prrx2,,,,,
,Prrx1,,,,,
,Prox2,,,,,
,Prox1,,,,,
,Prop1,,,,,
,Prkrir,,,,,
,Preb,,,,,
,Prdm9,,,,,
,Prdm8,,,,,
,Prdm6,,,,,
,Prdm5,,,,,
,Prdm4,,,,,
,Prdm2,,,,,
,Prdm16,,,,,
,Prdm15,,,,,
,Prdm13,,,,,
,Prdm12,,,,,
,Prdm11,,,,,
,Prdm10,,,,,
,Prdm1,,,,,
,Ppp1r13l,,,,,
,Ppard,,,,,
,Ppara,,,,,
,Pou6f1,,,,,
,Pou5f2,,,,,
,Pou4f3,,,,,
,Pou4f2,,,,,
,Pou4f1,,,,,
,Pou3f4,,,,,
,Pou3f3,,,,,
,Pou3f2,,,,,
,Pou3f1,,,,,
,Pou2f3,,,,,
,Pou2f2,,,,,
,Pou2f1,,,,,
,Pou2af1,,,,,
,Pou1f1,,,,,
,Pogz,,,,,
,Plek,,,,,
,Plagl2,,,,,
,Plagl1,,,,,
,Pknox2,,,,,
,Pknox1,,,,,
,Pitx3,,,,,
,Pitx2,,,,,
,Pitx1,,,,,
,Phtf2,,,,,
,Phtf1,,,,,
,Phox2b,,,,,
,Phox2a,,,,,
,Phf5a,,,,,
,Phf20,,,,,
,Phb2,,,,,
,Phb,,,,,
,Pgr,,,,,
,Peg3,,,,,
,Pdx1,,,,,
,Pcgf6,,,,,
,Pcbp4,,,,,
,Pcbp3,,,,,
,Pcbp2,,,,,
,Pcbp1,,,,,
,Pbx4,,,,,
,Pbx3,,,,,
,Pbx2,,,,,
,Pbrm1,,,,,
,Pax9,,,,,
,Pax8,,,,,
,Pax7,,,,,
,Pax3,,,,,
,Pax1,,,,,
,Pawr,,,,,
,Patz1,,,,,
,Parp12,,,,,
,Parp1,,,,,
,Ovol2,,,,,
,Ovol1,,,,,
,Otx2,,,,,
,Otx1,,,,,
,Otp,,,,,
,Osr2,,,,,
,Osr1,,,,,
,Onecut3,,,,,
,Onecut2,,,,,
,Onecut1,,,,,
,Olig3,,,,,
,Olig2,,,,,
,Olig1,,,,,
,Nrl,,,,,
,Nrf1,,,,,
,Nr6a1,,,,,
,Nr5a2,,,,,
,Nr5a1,,,,,
,Nr4a3,,,,,
,Nr4a1,,,,,
,Nr3c2,,,,,
,Nr2f6,,,,,
,Nr2f2,,,,,
,Nr2e1,,,,,
,Nr2c2,,,,,
,Nr2c1,,,,,
,Nr1i3,,,,,
,Nr1i2,,,,,
,Nr1h5,,,,,
,Nr1h4,,,,,
,Nr1h3,,,,,
,Nr1d2,,,,,
,Nr1d1,,,,,
,Nr0b2,,,,,
,Nr0b1,,,,,
,Npas4,,,,,
,Npas3,,,,,
,Npas2,,,,,
,Npas1,,,,,
,Nono,,,,,
,Noc4l,,,,,
,Noc3l,,,,,
,Nkx6-2,,,,,
,Nkx6-1,,,,,
,Nkx2-9,,,,,
,Nkx2-6,,,,,
,Nkx2-5,,,,,
,Nkx2-4,,,,,
,Nkx2-3,,,,,
,Nkx2-2,,,,,
,Nkx2-1,,,,,
,Nkrf,,,,,
,Nhlh2,,,,,
,Nfyc,,,,,
,Nfyb,,,,,
,Nfxl1,,,,,
,Nfx1,,,,,
,Nfrkb,,,,,
,Nfkbiz,,,,,
,Nfkbil1,,,,,
,Nfkbie,,,,,
,Nfkbid,,,,,
,Nfkbib,,,,,
,Nfkbia,,,,,
,Nfkb2,,,,,
,Nfix,,,,,
,Nfib,,,,,
,Nfia,,,,,
,Nfe2l3,,,,,
,Nfe2l1,,,,,
,Nfe2,,,,,
,Nfatc4,,,,,
,Nfatc3,,,,,
,Nfatc1,,,,,
,Nfat5,,,,,
,Neurog3,,,,,
,Neurog2,,,,,
,Neurog1,,,,,
,Neurod6,,,,,
,Neurod4,,,,,
,Neurod2,,,,,
,Neurod1,,,,,
,Ncor2,,,,,
,Ncor1,,,,,
,Ncoa7,,,,,
,Ncoa6,,,,,
,Ncoa5,,,,,
,Ncoa4,,,,,
,Ncoa3,,,,,
,Ncoa2,,,,,
,Ncoa1,,,,,
,Nanog,,,,,
,Myt1l,,,,,
,Myt1,,,,,
,Myst4,,,,,
,Myst3,,,,,
,Myst2,,,,,
,Myst1,,,,,
,Mysm1,,,,,
,Myog,,,,,
,Myod1,,,,,
,Mynn,,,,,
,Myf6,,,,,
,Myf5,,,,,
,Mycl1,,,,,
,Mybl2,,,,,
,Mybl1,,,,,
,Mxi1,,,,,
,Mxd4,,,,,
,Mxd3,,,,,
,Mxd1,,,,,
,Mtf2,,,,,
,Mtf1,,,,,
,Mta3,,,,,
,Mta2,,,,,
,Mta1,,,,,
,Msx3,,,,,
,Msx2,,,,,
,Msx1,,,,,
,Msc,,,,,
,Mnx1,,,,,
,Mnt,,,,,
,Mlxipl,,,,,
,Mlxip,,,,,
,Mlx,,,,,
,Mllt6,,,,,
,Mllt4,,,,,
,Mllt3,,,,,
,Mllt11,,,,,
,Mllt10,,,,,
,Mllt1,,,,,
,Mll5,,,,,
,Mll3,,,,,
,Mll2,,,,,
,Mll1,,,,,
,Mkx,,,,,
,Mitf,,,,,
,Mier3,,,,,
,Mier2,,,,,
,Mier1,,,,,
,Mga,,,,,
,Mesp2,,,,,
,Mesp1,,,,,
,Meox2,,,,,
,Meox1,,,,,
,Meis3,,,,,
,Meis2,,,,,
,Meis1,,,,,
,Mef2d,,,,,
,Mef2c,,,,,
,Mef2b,,,,,
,Mecp2,,,,,
,Mecom,,,,,
,Mbnl3,,,,,
,Mbd6,,,,,
,Mbd5,,,,,
,Mbd4,,,,,
,Mbd3l1,,,,,
,Mbd3,,,,,
,Mbd2,,,,,
,Mbd1,,,,,
,Maz,,,,,
,Matr3,,,,,
,Mafk,,,,,
,Mafg,,,,,
,Maff,,,,,
,Mafa,,,,,
,Maf1,,,,,
,Maf,,,,,
,Mael,,,,,
,Lyl1,,,,,
,Lyar,,,,,
,Lrrfip2,,,,,
,Lrrfip1,,,,,
,Lmx1b,,,,,
,Lmx1a,,,,,
,Lhx9,,,,,
,Lhx8,,,,,
,Lhx6,,,,,
,Lhx5,,,,,
,Lhx4,,,,,
,Lhx2,,,,,
,Lhx1,,,,,
,Lef1,,,,,
,Lcorl,,,,,
,Lcor,,,,,
,L3mbtl4,,,,,
,L3mbtl3,,,,,
,L3mbtl2,,,,,
,L3mbtl1,,,,,
